Timestamp, Sequence Number, SubPoint Number, Vertix Number, Comment, X, Y, Intended X, Intended Y, Scan Velocity, Laser State, Laser Rep. Rate, Spot Type, Spot Size, Spot Angle, MFC1, MFC2, Cell Pressure, Fluence At Sample
2019-04-15 10:27:02.382,,,1,,15829,60830,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:27:02.382,,,,,15829,60830,15829,60830,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:27:02.382,,,,,15829,60830,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:27:02.382,,,2,,15829,60830,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:27:34.827,,,,,16896,60830,16896,60830,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:27:34.827,,,,,16896,60830,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:27:49.013,12,1,,Line 3 (Copy 8),15829,60880,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:27:49.013,,,1,,15829,60880,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:27:49.013,,,,,15829,60880,15829,60880,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:27:49.013,,,,,15829,60880,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:27:49.013,,,2,,15829,60880,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:28:21.728,,,,,16901,60880,16901,60880,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:28:21.728,,,,,16901,60880,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:28:33.600,13,1,,Line 3 (Copy 9),15829,60930,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:28:33.600,,,1,,15829,60930,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:28:33.600,,,,,15829,60930,15829,60930,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:28:33.600,,,,,15829,60930,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:28:33.600,,,2,,15829,60930,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:29:06.272,,,,,16901,60930,16901,60930,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:29:06.272,,,,,16901,60930,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:29:18.315,14,1,,Line 3 (Copy 10),15829,60980,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:29:18.315,,,1,,15829,60980,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:29:18.315,,,,,15829,60980,15829,60980,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:29:18.315,,,,,15829,60980,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:29:18.315,,,2,,15829,60980,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:29:50.951,,,,,16901,60980,16901,60980,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:29:50.951,,,,,16901,60980,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:30:02.871,15,1,,Line 3 (Copy 11),15829,61030,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:30:02.871,,,1,,15829,61030,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:30:02.871,,,,,15829,61030,15829,61030,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:30:02.871,,,,,15829,61030,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:30:02.871,,,2,,15829,61030,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:30:35.414,,,,,16898,61030,16898,61030,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:30:35.414,,,,,16898,61030,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:30:48.992,16,1,,Line 3 (Copy 12),15829,61079,,,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:30:48.992,,,1,,15829,61079,,,33,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:30:48.992,,,,,15829,61079,15829,61079,,Off,0,Manual: G,50,0,0,0,0,
2019-04-15 10:30:48.992,,,,,15829,61079,,,,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:30:48.992,,,2,,15829,61079,,,33,On,10,Manual: G,50,0,0,0,0,
2019-04-15 10:31:21.746,,,,,16901,61079,16901,61079,,On,10,Manual: G,50,0,0,0,0,
